palabras,nota
jiles,5
culiaos,7
watona,7
kla,7
fea,3
perkin,3
foxy,3
corneta,2
wn,5
choro,3
maraqueando,7
imbecil,6
culiao,7
tonto,5
gil,5
maricon,7
mierda,6
aweonao,6
wea,4
imbécil,5
gorda,5
qla,7
inservible,4
amarilla,2
roja,2
ql,7
mamá,2
ctm,7
chacha,4
gila,5
pico,5
weon,6
gay,4
fleto,6
sapo,5
caga,3
vivo,1
imbácil,5
rechucha,5
re chucha,5
chucha,5
mona,4
llorón,4
weando,5
caca,2
cagón,5
cuico,4
hecho,4
culia,7
fome,3
idiota,6
aweona,6
gordo,4
chano,6
penca,4
vieja,4
explotar,2
odio,6
maricona,7
aweonaos,7
chato,3
cago,4
zorra,5
nena,5
